,state,area_code,international_plan,voice_mail_plan,churn
7145,NM,415.0,no,no,no
7146,AR,408.0,yes,no,no
7147,NE,415.0,no,no,yes
7148,WY,408.0,no,no,no
7149,IA,415.0,no,yes,no
7150,SC,415.0,no,no,yes
7151,NC,415.0,no,no,no
7152,HI,415.0,yes,yes,no
7153,UT,415.0,no,no,no
7154,WY,408.0,yes,no,no
7155,AL,408.0,no,no,yes
7156,VA,415.0,no,no,no
7157,WI,510.0,no,no,no
7158,FL,510.0,yes,no,yes
7159,KS,415.0,no,no,no
7160,NV,408.0,yes,no,yes
7161,NY,415.0,no,no,no
7162,VA,415.0,no,yes,no
7163,KS,415.0,no,no,no
7164,NC,510.0,yes,no,yes
7165,MO,415.0,no,no,no
7166,ND,510.0,no,no,no
7167,CA,510.0,no,no,no
7168,WV,415.0,no,no,no
7169,IL,415.0,no,no,no
7170,NY,415.0,no,no,no
7171,NV,510.0,no,no,no
7172,AL,408.0,no,no,no
7173,KS,510.0,yes,no,yes
7174,ND,510.0,no,no,no
7175,OK,415.0,no,no,no
7176,UT,415.0,no,no,no
7177,OH,415.0,no,no,no
7178,WY,510.0,no,no,no
7179,NM,415.0,no,yes,no
7180,AL,415.0,no,no,no
7181,DC,510.0,no,yes,no
7182,ID,510.0,no,yes,no
7183,AR,510.0,no,no,no
7184,ID,415.0,no,yes,no
7185,TX,415.0,no,no,no
7186,NM,415.0,no,no,yes
7187,WA,415.0,no,no,yes
7188,UT,510.0,no,no,no
7189,RI,510.0,no,no,no
7190,NC,408.0,no,yes,no
7191,RI,415.0,no,no,no
7192,NY,510.0,no,no,no
7193,TX,408.0,no,no,no
7194,DE,408.0,yes,yes,no
7195,MS,415.0,no,yes,no
7196,OH,415.0,no,yes,no
7197,LA,415.0,no,no,no
7198,FL,415.0,no,no,no
7199,WA,415.0,no,no,no
7200,WV,510.0,no,no,no
7201,NY,510.0,no,no,no
7202,NE,415.0,yes,yes,no
7203,PA,510.0,yes,no,yes
7204,MS,510.0,no,no,no
7205,IN,415.0,no,no,no
7206,VA,408.0,no,no,no
7207,MN,408.0,no,no,no
7208,DE,408.0,no,no,no
7209,OR,510.0,yes,no,no
7210,UT,415.0,no,no,yes
7211,CT,415.0,no,yes,no
7212,AL,415.0,no,yes,no
7213,TX,415.0,no,no,yes
7214,CT,415.0,no,no,no
7215,MS,415.0,no,no,yes
7216,AR,415.0,no,no,no
7217,CA,415.0,no,yes,no
7218,MI,408.0,no,no,yes
7219,WV,415.0,no,yes,no
7220,DE,415.0,no,no,no
7221,FL,415.0,no,no,no
7222,AK,415.0,no,yes,no
7223,ID,415.0,no,no,no
7224,OH,510.0,no,no,no
7225,NH,408.0,no,no,no
7226,MA,415.0,no,no,no
7227,SC,408.0,no,no,no
7228,OR,510.0,no,no,no
7229,OH,415.0,no,yes,no
7230,NC,510.0,yes,no,no
7231,KY,510.0,no,yes,no
7232,ID,510.0,no,no,no
7233,WA,510.0,no,no,no
7234,WV,510.0,no,no,no
7235,RI,408.0,no,yes,no
7236,KS,510.0,no,no,no
7237,NV,415.0,no,no,yes
7238,NE,408.0,no,no,yes
7239,FL,415.0,no,no,no
7240,WY,415.0,no,no,no
7241,WA,415.0,no,yes,no
7242,CO,415.0,no,no,no
7243,WI,415.0,no,no,no
7244,KS,510.0,no,no,no
7245,RI,415.0,no,yes,no
7246,MT,510.0,no,no,no
7247,CO,415.0,no,no,no
7248,CT,408.0,no,yes,no
7249,FL,510.0,no,no,no
7250,VT,510.0,no,no,no
7251,OH,415.0,no,no,no
7252,NH,408.0,no,no,no
7253,RI,415.0,yes,no,no
7254,FL,415.0,no,yes,no
7255,MD,415.0,no,no,no
7256,WY,408.0,no,no,no
7257,FL,408.0,no,yes,no
7258,TN,415.0,yes,no,yes
7259,NC,415.0,no,yes,no
7260,IN,415.0,yes,yes,no
7261,IA,408.0,no,no,no
7262,WV,408.0,no,yes,no
7263,UT,510.0,no,yes,no
7264,GA,408.0,no,no,no
7265,AK,415.0,no,yes,no
7266,UT,510.0,no,yes,no
7267,MS,510.0,no,no,yes
7268,AR,408.0,no,yes,no
7269,AK,415.0,no,yes,no
7270,AK,415.0,no,no,no
7271,ME,415.0,no,no,no
7272,WV,510.0,no,no,no
7273,CT,415.0,no,no,no
7274,GA,510.0,no,yes,no
7275,NV,415.0,yes,no,no
7276,VT,510.0,no,no,no
7277,DC,415.0,no,no,no
7278,TN,415.0,no,no,no
7279,OR,415.0,no,no,no
7280,MS,415.0,no,yes,no
7281,NC,415.0,no,yes,no
7282,CO,415.0,no,no,no
7283,AR,415.0,no,no,yes
7284,PA,415.0,no,no,no
7285,MN,408.0,no,no,no
7286,NM,415.0,no,yes,no
7287,UT,510.0,no,no,no
7288,NE,415.0,no,no,no
7289,MS,415.0,yes,yes,no
7290,NV,510.0,no,no,yes
7291,OR,408.0,no,no,no
7292,VA,415.0,no,no,no
7293,NJ,510.0,yes,yes,no
7294,WV,510.0,no,no,no
7295,OR,415.0,no,no,no
7296,KY,415.0,no,no,no
7297,MO,415.0,no,no,no
7298,TX,510.0,no,no,no
7299,MN,415.0,no,yes,no
7300,FL,510.0,no,no,no
7301,PA,415.0,no,no,no
7302,WV,415.0,no,no,no
7303,IN,510.0,no,no,no
7304,OK,415.0,no,yes,no
7305,NE,415.0,no,no,no
7306,DE,415.0,no,no,no
7307,MI,415.0,no,yes,no
7308,IL,415.0,no,no,no
7309,UT,510.0,yes,no,no
7310,IL,408.0,no,yes,no
7311,WA,415.0,no,no,no
7312,NM,408.0,no,no,no
7313,MD,415.0,no,no,no
7314,VA,408.0,no,yes,no
7315,MT,415.0,no,no,no
7316,CT,415.0,yes,no,no
7317,AL,415.0,no,no,no
7318,WV,510.0,no,no,no
7319,MO,415.0,no,yes,no
7320,ND,415.0,no,no,no
7321,AR,408.0,no,no,no
7322,GA,510.0,no,yes,no
7323,FL,510.0,no,no,no
7324,LA,510.0,no,no,yes
7325,UT,415.0,no,no,yes
7326,AZ,415.0,no,no,no
7327,NY,415.0,no,no,yes
7328,KY,415.0,no,no,no
7329,AL,415.0,no,no,no
7330,IN,510.0,no,no,no
7331,IN,415.0,no,yes,no
7332,FL,415.0,no,no,no
7333,NM,510.0,no,no,no
7334,AL,415.0,no,no,no
7335,MN,510.0,yes,no,yes
7336,NY,415.0,no,yes,no
7337,MD,415.0,no,no,no
7338,KS,510.0,no,no,no
7339,WV,408.0,no,no,no
7340,ID,510.0,no,yes,no
7341,LA,510.0,no,no,no
7342,MI,415.0,no,no,no
7343,TN,408.0,yes,no,yes
7344,CA,415.0,no,no,no
7345,FL,408.0,no,no,no
7346,LA,415.0,no,no,no
7347,IL,415.0,yes,yes,yes
7348,AL,415.0,no,yes,no
7349,CT,408.0,no,no,no
7350,PA,415.0,no,no,no
7351,TX,415.0,no,no,no
7352,VA,408.0,no,no,no
7353,MO,415.0,yes,no,no
7354,MT,408.0,no,no,yes
7355,ND,408.0,no,no,no
7356,FL,415.0,no,no,yes
7357,WI,510.0,no,no,yes
7358,KY,415.0,no,no,no
7359,MD,415.0,no,yes,no
7360,IN,415.0,no,no,no
7361,MA,415.0,no,no,no
7362,ND,415.0,no,no,no
7363,VT,415.0,no,no,no
7364,CT,415.0,no,yes,no
7365,VA,408.0,no,yes,no
7366,MS,408.0,no,yes,no
7367,AK,415.0,no,no,no
7368,WY,415.0,no,no,no
7369,NY,415.0,no,no,yes
7370,NC,510.0,no,no,no
7371,IL,415.0,no,no,no
7372,OH,415.0,no,no,no
7373,RI,510.0,no,no,no
7374,WY,415.0,yes,no,no
7375,OR,510.0,no,no,no
7376,NV,415.0,no,no,yes
7377,ND,415.0,no,yes,yes
7378,OR,510.0,no,no,no
7379,ND,510.0,no,no,no
7380,NJ,408.0,no,no,yes
7381,WV,415.0,no,yes,no
7382,VA,408.0,no,no,no
7383,ID,510.0,no,yes,no
7384,CT,510.0,yes,no,no
7385,NM,408.0,no,no,no
7386,CT,408.0,yes,no,yes
7387,MI,408.0,no,yes,yes
7388,SC,510.0,no,no,yes
7389,SC,415.0,no,no,yes
7390,NY,510.0,no,no,no
7391,MT,408.0,no,yes,no
7392,WY,510.0,no,no,no
7393,NE,415.0,no,yes,no
7394,IN,415.0,no,no,no
7395,CO,510.0,no,no,no
7396,WY,510.0,yes,no,no
7397,MD,415.0,no,no,yes
7398,OK,408.0,no,no,no
7399,SD,415.0,no,no,no
7400,SC,510.0,yes,yes,no
7401,NY,415.0,yes,no,yes
7402,NY,415.0,no,yes,yes
7403,WV,415.0,no,no,no
7404,WA,408.0,no,no,no
7405,ID,415.0,no,yes,yes
7406,MN,510.0,no,no,no
7407,TX,510.0,yes,yes,yes
7408,AZ,415.0,no,no,no
7409,DE,415.0,no,yes,no
7410,CO,408.0,no,no,no
7411,WI,408.0,no,no,no
7412,WI,415.0,no,no,yes
7413,NJ,510.0,no,no,no
7414,IL,415.0,yes,no,no
7415,DC,415.0,no,no,yes
7416,IA,510.0,no,no,no
7417,GA,408.0,no,no,no
7418,AK,415.0,no,no,no
7419,CA,510.0,no,no,yes
7420,MN,415.0,yes,no,yes
7421,CO,415.0,no,no,yes
7422,KY,408.0,no,yes,no
7423,SC,408.0,no,no,no
7424,MT,415.0,no,yes,no
7425,KY,415.0,no,yes,no
7426,WV,415.0,no,no,no
7427,ID,415.0,no,no,no
7428,MN,510.0,no,no,yes
7429,MA,415.0,no,yes,no
7430,MD,415.0,no,yes,no
7431,SD,415.0,no,yes,no
7432,PA,510.0,no,no,yes
7433,KY,415.0,no,no,no
7434,ID,415.0,no,no,no
7435,NY,415.0,no,yes,no
7436,NM,510.0,no,no,no
7437,CA,415.0,no,yes,yes
7438,ID,415.0,no,no,no
7439,WY,415.0,no,no,no
7440,NM,510.0,no,no,no
7441,HI,408.0,no,yes,no
7442,ID,510.0,no,yes,no
7443,NC,415.0,no,no,no
7444,TX,415.0,no,yes,no
7445,GA,408.0,no,no,no
7446,AL,408.0,no,no,no
7447,ME,415.0,no,no,no
7448,VA,415.0,no,no,no
7449,ID,415.0,no,no,no
7450,NY,510.0,no,no,no
7451,NC,415.0,no,no,yes
7452,OH,415.0,no,no,no
7453,HI,415.0,no,yes,no
7454,DC,415.0,no,no,no
7455,TN,408.0,no,no,no
7456,VT,415.0,no,no,no
7457,MD,415.0,no,yes,no
7458,LA,408.0,no,yes,no
7459,HI,415.0,no,no,no
7460,FL,415.0,no,no,no
7461,WY,408.0,no,no,no
7462,NE,415.0,no,no,no
7463,WY,415.0,no,yes,no
7464,OR,408.0,no,yes,no
7465,IN,415.0,no,no,no
7466,MD,408.0,no,yes,no
7467,TN,510.0,yes,no,no
7468,WV,510.0,yes,yes,yes
7469,WA,510.0,no,no,no
7470,MS,415.0,no,no,no
7471,OH,415.0,no,yes,no
7472,IN,415.0,no,no,yes
7473,CO,408.0,no,yes,no
7474,TX,510.0,no,yes,no
7475,AK,408.0,no,no,no
7476,WV,408.0,no,no,no
7477,MA,415.0,no,no,no
7478,TN,415.0,no,yes,no
7479,ID,510.0,yes,yes,yes
7480,DE,415.0,yes,no,no
7481,VA,415.0,no,no,no
7482,MT,408.0,no,no,no
7483,ID,510.0,no,yes,no
7484,IN,415.0,no,yes,no
7485,MD,415.0,no,yes,no
7486,MS,408.0,no,no,no
7487,WA,510.0,no,no,no
7488,OH,415.0,no,no,no
7489,RI,408.0,no,no,yes
7490,AR,510.0,no,no,no
7491,AZ,415.0,no,no,no
7492,SC,415.0,no,no,no
7493,KY,415.0,no,no,yes
7494,AL,415.0,no,yes,no
7495,NE,408.0,no,no,no
7496,MT,408.0,no,yes,no
7497,MN,408.0,no,yes,no
7498,NV,415.0,no,no,no
7499,CA,415.0,no,no,no
7500,UT,415.0,no,yes,no
7501,IL,415.0,no,no,no
7502,DC,408.0,no,no,no
7503,IN,415.0,no,no,no
7504,NM,415.0,no,no,no
7505,MS,510.0,no,no,no
7506,VT,415.0,no,no,no
7507,VT,408.0,no,no,no
7508,UT,510.0,no,yes,no
7509,KY,408.0,no,no,no
7510,VA,408.0,no,no,no
7511,OH,408.0,no,no,no
7512,AZ,408.0,no,yes,no
7513,NY,510.0,no,no,no
7514,VA,408.0,no,no,no
7515,MD,510.0,no,no,yes
7516,MA,510.0,no,yes,no
7517,IL,415.0,yes,no,no
7518,LA,415.0,no,no,no
7519,MO,415.0,no,no,no
7520,DC,408.0,no,yes,no
7521,PA,415.0,no,no,no
7522,TN,415.0,no,no,no
7523,NJ,510.0,no,no,no
7524,VA,415.0,no,no,no
7525,TN,510.0,no,no,no
7526,NJ,510.0,yes,no,yes
7527,WA,408.0,no,no,no
7528,AR,510.0,no,no,no
7529,WI,415.0,no,no,no
7530,WA,510.0,no,no,no
7531,RI,415.0,no,no,no
7532,ME,415.0,no,no,no
7533,CO,415.0,no,no,yes
7534,CO,408.0,no,no,no
7535,RI,408.0,no,no,yes
7536,CT,408.0,no,no,yes
7537,NC,415.0,no,no,no
7538,WY,408.0,no,no,no
7539,OR,415.0,yes,yes,yes
7540,FL,415.0,no,yes,no
7541,KY,408.0,no,no,no
7542,SC,510.0,no,no,yes
7543,WA,408.0,no,yes,no
7544,MT,415.0,no,no,no
7545,PA,510.0,no,no,no
7546,MA,408.0,no,no,no
7547,VT,415.0,no,no,no
7548,MN,408.0,no,yes,no
7549,IL,408.0,yes,no,no
7550,AR,408.0,no,no,no
7551,MD,415.0,no,no,no
7552,MT,408.0,no,no,no
7553,VT,408.0,no,no,no
7554,CO,415.0,no,no,no
7555,NC,408.0,no,no,no
7556,WA,510.0,no,no,no
7557,TN,415.0,no,no,no
7558,AR,408.0,no,no,no
7559,DC,510.0,no,yes,no
7560,MN,415.0,no,no,no
7561,IA,510.0,no,yes,no
7562,KS,510.0,no,no,no
7563,ND,415.0,no,no,no
7564,MT,510.0,no,no,no
7565,IL,510.0,no,no,no
7566,DC,408.0,no,no,no
7567,KY,415.0,no,no,yes
7568,MS,510.0,yes,no,no
7569,TN,415.0,no,no,no
7570,IA,415.0,no,yes,no
7571,AK,510.0,no,no,no
7572,MN,415.0,no,no,yes
7573,WV,415.0,no,no,yes
7574,OR,415.0,no,no,no
7575,MS,415.0,no,no,yes
7576,ME,415.0,no,yes,no
7577,MN,510.0,no,no,no
7578,GA,510.0,no,no,no
7579,DC,415.0,no,no,no
7580,GA,510.0,no,no,no
7581,NY,415.0,no,no,yes
7582,OK,510.0,no,no,no
7583,OK,415.0,no,no,no
7584,GA,510.0,no,no,no
7585,NJ,510.0,no,no,no
7586,MN,415.0,no,no,no
7587,ME,510.0,no,no,no
7588,MI,510.0,no,yes,no
7589,MT,415.0,no,no,no
7590,NE,510.0,no,yes,no
7591,ND,408.0,no,no,yes
7592,VA,415.0,no,no,no
7593,VT,408.0,no,no,no
7594,OH,510.0,yes,no,yes
7595,AL,408.0,no,no,yes
7596,DC,408.0,no,no,no
7597,ND,415.0,no,no,no
7598,TN,415.0,no,no,no
7599,DE,510.0,no,no,yes
7600,NY,408.0,no,no,no
7601,AL,408.0,no,yes,no
7602,OK,510.0,yes,no,yes
7603,MS,415.0,no,yes,no
7604,MD,415.0,no,no,no
7605,NE,415.0,no,yes,no
7606,AR,415.0,no,no,yes
7607,IL,415.0,no,no,no
7608,IN,408.0,no,yes,no
7609,UT,415.0,no,yes,no
7610,LA,415.0,no,yes,no
7611,ID,510.0,no,no,no
7612,KY,510.0,no,no,no
7613,MI,415.0,no,no,no
7614,NH,415.0,yes,no,yes
7615,WV,415.0,no,no,no
7616,OR,415.0,no,yes,no
7617,SD,415.0,no,no,no
7618,MD,510.0,yes,yes,no
7619,ND,408.0,yes,yes,yes
7620,TN,415.0,no,no,no
7621,MO,415.0,no,yes,no
7622,IL,510.0,no,yes,no
7623,UT,415.0,no,no,no
7624,MI,415.0,no,no,yes
7625,AR,408.0,no,no,no
7626,TX,408.0,no,yes,no
7627,AK,408.0,no,no,no
7628,TN,415.0,no,no,no
7629,NH,415.0,no,yes,yes
7630,NM,408.0,no,no,no
7631,MN,408.0,no,yes,no
7632,IA,415.0,no,yes,no
7633,RI,415.0,no,no,no
7634,AL,415.0,no,no,no
7635,NC,510.0,no,no,no
7636,SD,408.0,no,no,no
7637,MT,510.0,no,no,no
7638,HI,510.0,no,no,no
7639,MT,415.0,no,yes,no
7640,KY,415.0,no,yes,no
7641,DC,415.0,yes,yes,no
7642,CO,408.0,yes,yes,no
7643,MI,415.0,no,no,no
7644,AL,415.0,no,no,no
7645,KS,408.0,yes,no,yes
7646,NC,415.0,no,no,no
7647,SC,408.0,no,no,yes
7648,CO,415.0,no,yes,no
7649,MN,415.0,no,no,no
7650,WY,415.0,no,no,no
7651,FL,510.0,no,no,no
7652,NY,415.0,no,no,no
7653,OK,408.0,no,yes,no
7654,ME,510.0,no,no,no
7655,NE,510.0,no,no,no
7656,OH,415.0,no,no,no
7657,CT,415.0,no,no,no
7658,DC,415.0,no,no,no
7659,OK,415.0,no,no,no
7660,NJ,415.0,no,no,yes
7661,IA,415.0,no,no,no
7662,VA,415.0,yes,no,yes
7663,VA,510.0,no,no,no
7664,NM,415.0,yes,yes,yes
7665,FL,408.0,yes,no,no
7666,RI,510.0,yes,no,yes
7667,NJ,408.0,no,yes,no
7668,NE,408.0,no,yes,no
7669,WV,415.0,no,no,no
7670,WY,510.0,no,yes,no
7671,SC,408.0,no,no,no
7672,MS,415.0,yes,no,yes
7673,ND,415.0,no,no,yes
7674,IL,415.0,no,no,no
7675,OR,415.0,no,no,no
7676,UT,510.0,no,no,no
7677,IA,415.0,no,no,yes
7678,ME,510.0,no,no,no
7679,WY,408.0,no,no,no
7680,WI,510.0,no,yes,no
7681,SC,415.0,no,no,yes
7682,DC,510.0,yes,no,no
7683,CT,415.0,no,no,no
7684,OR,415.0,no,no,no
7685,OR,510.0,no,no,no
7686,NV,415.0,no,yes,no
7687,MN,415.0,yes,yes,yes
7688,OK,408.0,no,no,no
7689,KS,415.0,no,no,no
7690,RI,415.0,no,no,no
7691,DC,415.0,no,no,no
7692,IL,408.0,yes,no,no
7693,UT,510.0,no,no,no
7694,MN,415.0,no,no,yes
7695,WI,408.0,no,no,no
7696,MI,415.0,no,no,yes
7697,MI,415.0,no,yes,no
7698,MA,415.0,no,no,no
7699,AL,510.0,no,no,no
7700,SC,510.0,no,no,yes
7701,WI,415.0,yes,no,no
7702,VT,510.0,no,yes,no
7703,CT,408.0,no,no,no
7704,OR,510.0,no,no,no
7705,HI,415.0,no,no,no
7706,WV,415.0,no,no,no
7707,RI,408.0,no,no,no
7708,MI,408.0,no,no,yes
7709,ME,415.0,no,yes,no
7710,WV,510.0,no,no,yes
7711,NE,510.0,no,no,no
7712,DC,415.0,no,no,no
7713,NH,408.0,no,yes,no
7714,MD,415.0,no,yes,no
7715,NH,408.0,no,yes,no
7716,WV,510.0,no,yes,no
7717,IL,415.0,no,yes,no
7718,OK,510.0,no,no,no
7719,NH,415.0,no,yes,no
7720,MI,415.0,no,no,no
7721,ND,415.0,no,no,no
7722,LA,408.0,no,no,no
7724,NJ,415.0,no,no,yes
7725,WV,408.0,no,no,no
7726,NC,510.0,no,no,no
7727,PA,415.0,yes,no,no
7728,MI,408.0,no,no,no
7729,WY,415.0,no,no,no
7730,NJ,408.0,no,yes,no
7731,NJ,510.0,no,no,yes
7732,NC,408.0,yes,no,yes
7733,NM,408.0,no,no,no
7734,MS,510.0,yes,yes,no
7735,TX,415.0,yes,yes,yes
7736,OK,510.0,no,yes,no
7737,ID,415.0,no,no,no
7738,AL,415.0,no,no,no
7739,WY,510.0,no,yes,no
7740,HI,510.0,no,no,no
7741,VA,415.0,no,no,no
7742,WV,408.0,no,yes,no
7743,DE,415.0,no,no,no
7744,CA,408.0,no,no,no
7745,PA,408.0,no,yes,yes
7746,CO,415.0,no,no,no
7747,MD,408.0,no,no,yes
7748,AL,510.0,no,no,no
7749,AL,415.0,no,no,no
7750,KS,510.0,no,no,no
7751,MI,415.0,no,no,no
7752,AK,408.0,no,yes,no
7753,OH,415.0,no,no,no
7754,IN,415.0,no,yes,no
7755,SC,415.0,no,no,no
7756,KS,415.0,no,no,no
7757,OK,415.0,no,no,no
7758,WI,408.0,no,no,no
7759,IN,408.0,no,no,no
7760,IL,408.0,yes,no,yes
7761,TN,415.0,no,no,no
7762,DC,408.0,no,no,no
7763,NC,408.0,no,yes,no
7764,RI,510.0,no,yes,no
7765,MS,415.0,no,no,no
7766,VA,415.0,yes,no,no
7767,KY,510.0,no,yes,no
7768,NV,408.0,no,yes,no
7769,WI,510.0,no,no,no
7770,NH,408.0,no,yes,no
7771,NE,510.0,no,yes,no
7772,WI,408.0,no,no,yes
7773,NJ,510.0,no,yes,yes
7774,ME,415.0,yes,yes,yes
7775,WY,415.0,no,yes,no
7776,IN,408.0,no,yes,no
7777,WI,408.0,no,no,no
7778,VT,415.0,no,no,no
7779,CA,415.0,no,no,no
7780,IN,408.0,no,no,no
7781,SC,415.0,no,no,no
7782,IN,415.0,no,no,no
7783,IA,415.0,no,yes,no
7784,MD,408.0,no,no,yes
7785,MN,510.0,no,no,yes
7786,AR,415.0,no,yes,yes
7787,MS,415.0,no,no,no
7788,MN,415.0,no,no,no
7789,WA,415.0,no,yes,no
7790,MS,408.0,no,yes,no
7791,ID,415.0,no,no,no
7792,NC,415.0,no,no,no
7793,VA,510.0,no,yes,no
7794,MT,408.0,yes,no,yes
7795,MI,510.0,no,no,no
7796,HI,415.0,no,no,no
7797,NC,408.0,no,no,no
7798,MN,408.0,no,no,no
7799,WV,415.0,no,no,no
7800,SD,510.0,yes,no,yes
7801,HI,408.0,no,no,no
7802,MS,415.0,no,no,no
7803,NY,415.0,no,no,no
7804,LA,408.0,no,no,no
7805,KS,415.0,yes,yes,no
7806,MA,408.0,no,no,no
7807,AK,408.0,no,no,no
7808,SD,415.0,no,yes,no
7809,CO,408.0,no,no,no
7810,NH,415.0,no,yes,no
7811,WV,415.0,no,no,no
7812,AZ,415.0,no,yes,no
7813,ME,510.0,no,no,no
7814,NH,510.0,no,no,no
7815,RI,415.0,no,yes,no
7816,ID,415.0,no,no,yes
7817,WI,408.0,no,no,no
7818,NM,408.0,yes,no,no
7819,WY,415.0,no,no,yes
7820,IL,510.0,no,yes,no
7821,TX,408.0,no,no,no
7822,RI,408.0,yes,no,no
7823,MI,415.0,no,no,no
7824,OR,415.0,no,no,yes
7825,VA,510.0,no,no,no
7826,SD,510.0,no,no,no
7827,AL,510.0,no,no,yes
7828,MS,415.0,yes,no,yes
7829,MS,510.0,no,yes,no
7830,HI,415.0,no,no,no
7831,WV,408.0,no,no,no
7832,WV,415.0,no,no,no
7833,WV,415.0,no,no,no
7834,IN,510.0,no,no,no
7835,NM,415.0,no,yes,no
7836,DE,408.0,no,no,no
7837,NC,408.0,no,no,no
7838,NM,415.0,no,yes,no
7839,SC,415.0,no,no,yes
7840,NJ,415.0,no,yes,no
7841,AZ,510.0,no,no,no
7842,RI,510.0,no,yes,no
7843,SD,415.0,no,no,no
7844,NH,415.0,no,no,no
7845,AL,415.0,yes,no,no
7846,WV,415.0,no,no,no
7847,ID,415.0,yes,yes,no
7848,MD,415.0,no,no,no
7849,IN,510.0,no,no,no
7850,WY,415.0,no,no,no
7851,NH,510.0,no,no,no
7852,MN,408.0,no,no,no
7853,MA,415.0,no,yes,no
7854,NH,510.0,no,no,no
7855,MN,415.0,no,no,no
7856,IA,415.0,no,no,no
7857,NY,408.0,no,no,no
7858,AL,510.0,no,yes,no
7859,WV,415.0,no,no,no
7860,NM,415.0,no,no,no
7861,CA,415.0,no,yes,no
7862,MA,408.0,no,yes,no
7863,ME,415.0,no,no,no
7864,FL,415.0,no,no,no
7865,NH,408.0,no,yes,yes
7866,IN,408.0,no,no,no
7867,WI,408.0,no,no,no
7868,MA,415.0,yes,no,yes
7869,NH,415.0,no,yes,no
7870,TX,415.0,no,no,no
7871,NC,408.0,no,no,no
7872,CT,415.0,no,no,no
7873,NJ,408.0,no,no,no
7874,WY,510.0,no,no,yes
7875,LA,510.0,no,yes,no
7876,NV,415.0,no,no,no
7877,WV,510.0,no,no,no
7878,AR,415.0,no,yes,no
7879,SC,415.0,no,yes,no
7880,KS,415.0,no,no,no
7881,NY,415.0,no,yes,no
7882,MI,408.0,yes,no,yes
7883,MA,415.0,no,no,no
7884,UT,415.0,no,no,yes
7885,HI,415.0,no,no,no
7886,PA,408.0,no,no,no
7887,OR,415.0,no,yes,no
7888,TN,415.0,no,yes,no
7889,CT,415.0,no,no,yes
7890,AZ,415.0,no,no,no
7891,OR,510.0,no,no,no
7892,DE,415.0,no,yes,no
7893,MA,408.0,no,yes,no
7894,CT,408.0,no,no,no
7895,AR,415.0,yes,no,no
7896,SD,415.0,no,no,no
7897,CT,408.0,no,yes,no
7898,CT,408.0,no,no,no
7899,MA,408.0,no,yes,no
7900,MS,408.0,no,no,yes
7901,MT,408.0,no,yes,yes
7902,AK,415.0,no,yes,no
7903,DE,415.0,no,yes,no
7904,OH,408.0,yes,no,no
7905,MN,408.0,no,no,no
7906,CA,415.0,no,yes,no
7907,OH,510.0,no,no,no
7908,NV,415.0,no,no,yes
7909,SC,415.0,no,no,no
7910,WV,415.0,no,no,no
7911,NM,415.0,yes,no,no
7912,WY,415.0,no,no,no
7913,CA,408.0,no,no,no
7914,KS,415.0,no,yes,no
7915,WY,510.0,no,no,no
7916,OK,415.0,no,no,no
7917,UT,415.0,no,no,no
7918,MA,408.0,no,no,no
7919,UT,415.0,no,no,no
7920,MN,510.0,no,no,no
7921,NE,415.0,no,no,no
7922,OH,415.0,no,no,no
7923,KY,510.0,no,no,no
7924,WA,415.0,no,no,yes
7925,NY,408.0,no,no,yes
7926,IN,510.0,no,no,yes
7927,CO,408.0,no,yes,no
7928,DC,510.0,no,no,no
7929,AK,510.0,no,no,no
7930,SC,415.0,no,no,no
7931,KS,415.0,no,no,no
7932,UT,415.0,no,no,no
7933,IL,510.0,yes,no,no
7934,DC,408.0,no,no,yes
7935,DC,510.0,no,no,no
7936,OK,408.0,no,no,yes
7937,KY,415.0,no,yes,no
7938,NE,415.0,no,no,no
7939,AL,415.0,no,no,no
7940,HI,415.0,no,no,no
7941,SC,415.0,no,yes,no
7942,GA,415.0,yes,no,yes
7943,KS,415.0,no,yes,no
7944,PA,408.0,no,no,no
7945,UT,415.0,no,no,no
7946,OR,415.0,no,yes,no
7947,ND,415.0,no,no,yes
7948,KY,415.0,yes,no,no
7949,MN,408.0,yes,no,no
7950,OH,408.0,no,no,yes
7951,TX,415.0,no,no,no
7952,WY,415.0,no,no,yes
7953,GA,415.0,no,no,no
7954,TX,415.0,no,no,no
7955,WV,408.0,no,no,no
7956,NM,415.0,no,no,no
7957,MI,415.0,no,yes,no
7958,NC,408.0,no,no,yes
7959,NY,415.0,no,no,no
7960,TX,415.0,no,no,yes
7961,KY,415.0,no,yes,yes
7962,SD,415.0,no,no,no
7963,ID,415.0,no,yes,no
7964,OR,408.0,no,no,yes
7965,WI,415.0,no,no,no
7966,WV,408.0,no,no,no
7967,SC,415.0,no,yes,no
7968,CT,415.0,no,no,yes
7969,NV,408.0,no,no,no
7970,ND,415.0,no,yes,no
7971,MI,415.0,yes,no,yes
7972,MT,415.0,no,yes,yes
7973,NE,510.0,no,no,no
7974,UT,510.0,no,no,no
7975,WV,415.0,no,no,no
7976,AR,415.0,yes,no,no
7977,MT,408.0,no,no,no
7978,UT,510.0,no,no,no
7979,HI,408.0,no,no,yes
7980,KS,415.0,no,no,yes
7981,NY,415.0,no,no,no
7982,OH,510.0,no,no,no
7983,HI,415.0,no,no,no
7984,KS,408.0,no,no,no
7985,IN,415.0,no,no,no
7986,OR,415.0,no,yes,no
7987,NY,408.0,yes,no,yes
7988,VA,415.0,no,no,no
7989,MI,408.0,yes,no,yes
